Date,District of Columbia DC,Fairfax County VA,Montgomery County MD,Prince Georges County MD,District of Columbia DC,Prince William County VA,Loudoun County VA,Frederick County MD,Arlington County VA,Charles County MD,Alexandria City VA,Stafford County VA,Spotsylvania County VA,Calvert County MD,Fauquier County VA,Jefferson County WV,Culpeper County VA,Manassas City VA,Warren County VA,Fredericksburg City VA,Fairfax City VA,Manassas Park City VA,Clarke County VA,Falls Church City VA,Rappahannock County VA
1/31/2000,193561,233817,227539,160639,193561,184269,251128,184080,245007,185063,,,,187328,192552,157837,,,,145660,232818,150535,173353,317932,
2/29/2000,194567,234515,227278,160471,194567,185052,252175,184069,246120,185069,,,,187334,193474,157793,,,,147088,233722,151110,174066,319843,
3/31/2000,195503,235396,227412,160412,195503,185607,253238,184248,247396,185412,,,,187640,194074,157946,,,,147721,234512,151692,174591,321364,
4/30/2000,197623,237327,227983,160180,197623,186186,255493,184725,249838,186098,,,,188511,195503,158016,,,,149414,236207,152884,176030,324405,
5/31/2000,199604,239531,229369,160382,199604,186650,257591,185637,252208,187224,,,,189803,196646,158287,,,,150381,237720,153937,177405,326872,
6/30/2000,201864,241993,231403,160531,201864,187033,259663,185859,254558,188247,,,,190963,197988,158759,,,,151407,239164,154821,178520,328801,
7/31/2000,203894,244850,234463,160858,203894,188407,261102,185942,256870,189225,,,,191756,199317,159372,,,,151981,240689,155707,179856,330627,
8/31/2000,205572,249847,237276,160625,205572,189692,263483,185869,259499,190117,,,,192403,200701,160174,,,,152330,242238,156577,181024,332559,
9/30/2000,206783,254497,239434,160951,206783,191606,266144,186713,262542,190909,,,,193303,201995,160690,,,,152893,243889,157577,182288,334727,
10/31/2000,206733,259041,241096,161626,206733,192949,269970,188033,267239,191680,,,,194122,203182,161349,,,,153406,245326,158377,182964,336704,
11/30/2000,207141,261417,243508,162651,207141,194621,273500,188804,271312,192420,,,,195219,205783,162185,,,,154303,247275,159520,183864,339469,
12/31/2000,207673,264320,246554,163393,207673,196522,278648,189843,275066,193407,,,,196391,208507,163416,,,,155098,249370,160626,185327,342619,
