Date,District of Columbia DC,Prince Georges County MD,Montgomery County MD,Fairfax County VA,Arlington County VA
1/31/2000,193561,160639,227539,233817,245007
2/29/2000,194567,160471,227278,234515,246120
3/31/2000,195503,160412,227412,235396,247396
4/30/2000,197623,160180,227983,237327,249838
5/31/2000,199604,160382,229369,239531,252208
6/30/2000,201864,160531,231403,241993,254558
7/31/2000,203894,160858,234463,244850,256870
8/31/2000,205572,160625,237276,249847,259499
9/30/2000,206783,160951,239434,254497,262542
10/31/2000,206733,161626,241096,259041,267239
11/30/2000,207141,162651,243508,261417,271312
12/31/2000,207673,163393,246554,264320,275066
1/31/2001,208933,163741,248710,267253,278114
2/28/2001,210081,164072,250495,269668,281296
3/31/2001,211542,164452,252096,272882,285121
4/30/2001,213795,165138,254844,276387,288287
5/31/2001,216029,166026,257874,280942,292412
6/30/2001,218186,166912,261281,284810,296305
7/31/2001,220415,167712,265275,288178,301201
8/31/2001,223015,168732,269228,291937,305597
9/30/2001,225809,169927,272967,295553,309879
10/31/2001,228581,171253,275820,299019,313495
11/30/2001,231186,172902,278381,302253,318136
12/31/2001,233908,174523,281376,305278,323094
1/31/2002,236464,176036,283999,307830,327929
2/28/2002,239156,176772,286730,310520,331625
3/31/2002,241345,177932,289130,313736,335451
4/30/2002,244087,179281,292755,317758,339571
5/31/2002,247021,181372,296804,321480,344485
6/30/2002,250458,183265,301559,325844,349907
7/31/2002,253660,185550,307103,330207,355779
8/31/2002,256674,188004,312886,335006,361417
9/30/2002,260011,190334,318161,339179,367179
10/31/2002,263664,192404,322226,343150,372247
11/30/2002,268246,193448,326395,346222,377866
12/31/2002,272796,194939,330341,348897,382555
1/31/2003,276667,196438,333803,350810,386539
2/28/2003,280010,198262,337887,354460,390484
3/31/2003,282955,199807,342482,357937,394058
4/30/2003,286515,201462,347202,362678,399553
5/31/2003,290119,203888,350733,366355,405585
6/30/2003,293993,206117,355117,370449,411757
7/31/2003,297752,208633,358975,374769,416866
8/31/2003,301315,210805,364101,378617,421929
9/30/2003,304883,213737,369151,382437,427219
