Date,Bergen County,Middlesex County,Essex County,Hudson County,Monmouth County,Ocean County,Union County,Camden County,Passaic County,Morris County,Burlington County,Mercer County,Somerset County,Gloucester County,Atlantic County,Cumberland County,Sussex County,Hunterdon County,Warren County,Cape May County,Salem County
1/31/2000,241016.8775,179302.1464,193329.723,164059.465,196554.9059,140701.3294,197904.5681,106254.0838,184779.8014,247155.9575,138725.9475,147231.643,238207.71,129044.332,112507.3347,96191.47865,155156.1112,256960.5754,166185.6994,161016.2389,98924.53859
2/29/2000,241644.475,179739.0987,194107.9839,164765.7765,197015.5447,141280.063,198549.6928,106404.6584,185361.6713,247772.9782,139007.1735,146988.9383,239065.93,129337.3362,112761.289,96327.80704,155648.4774,257742.0958,166499.0179,161728.1237,99072.94748
3/31/2000,242407.0317,180336.3224,194904.0458,165356.8097,197610.403,141611.8423,199197.398,106618.309,185983.1338,248593.6508,138620.87,146976.8251,239911.1898,129645.5491,113001.5416,96431.05034,156010.3857,258744.7456,166856.4416,162587.6823,99243.58127
4/30/2000,243971.6449,181564.0011,196192.5428,166615.657,198903.4451,142487.4412,200567.8542,107074.1322,187269.1128,250333.1037,138288.1301,147300.6035,241637.3341,130269.9801,113550.5032,96690.36822,156755.9279,260799.9067,167715.7267,164420.1534,99745.88144
5/31/2000,245765.6838,183222.4218,197353.7266,168025.4925,200567.218,143301.6304,201496.0824,107035.1181,188023.2082,252332.4578,137762.8014,147853.2309,243254.2138,130928.0392,114247.5442,96901.63753,157628.6285,263166.7753,168819.6533,166405.1736,100365.617
6/30/2000,248261.2744,185133.7058,198739.5969,169133.2051,202571.6182,144327.6164,202399.3127,106782.7424,188692.0656,254935.5625,137969.0736,148631.2943,245105.3818,131571.9989,115047.2444,97151.06486,157801.6696,266088.378,170116.8956,168541.7629,101092.7301
7/31/2000,250715.9868,187387.3599,200562.8813,170339.3661,205005.5378,145398.0541,203639.7697,106505.3695,189838.2501,258286.1568,138652.5697,149447.7774,247352.7579,131352.679,115428.9885,97361.94746,158172.4976,269341.0273,171663.5076,170725.4038,101846.2576
8/31/2000,253202.2416,189437.9372,202845.7056,171476.7992,208572.212,146655.0472,205780.1299,106828.0809,191935.0826,262453.6694,139515.7924,150802.4885,250076.7349,130951.1215,115715.7839,97482.74604,158655.9901,272441.4941,173179.4651,172712.9093,102512.5199
9/30/2000,255493.4651,191766.9913,205005.5384,173143.8986,212327.155,148257.9169,208374.3601,107384.67,194133.402,266577.2495,140375.1849,152325.556,253015.1985,130526.694,116062.6316,97658.18652,160241.6789,275050.0284,174854.289,174526.1537,103192.2226
10/31/2000,257888.2006,194085.155,207309.2481,174938.2346,215952.5323,149891.1563,210622.6915,107908.6621,195755.1817,269971.1666,141015.8126,154213.4661,255879.3908,131069.3123,116725.5379,97895.84304,161944.2736,277493.182,176384.3984,176021.3236,103759.4399
