Date,Bergen County,Middlesex County,Essex County,Hudson County,Monmouth County,Ocean County,Union County,Camden County,Passaic County,Morris County,Burlington County,Mercer County,Somerset County,Gloucester County,Atlantic County,Cumberland County,Sussex County,Hunterdon County,Warren County,Cape May County,Salem County
1/31/2000,220297.5076,165290.5459,178487.354,141530.086,187484.0622,137094.3727,183065.3564,98267.99636,173257.6187,231766.7534,135302.2599,138032.6978,227096.8016,123535.0173,102658.5899,84839.38847,149358.642,237856.9384,156682.2221,139994.8116,87034.44207
2/29/2000,220872.2344,165694.3925,179205.3486,142141.3421,187919.1843,137658.9916,183661.0226,98406.5693,173803.1484,232342.2865,135582.7401,137803.8809,227913.5907,123815.3401,102889.3928,84956.69355,149832.8888,238581.3996,156977.8217,140615.4878,87165.52039
3/31/2000,221569.6336,166245.3929,179938.7291,142651.2457,188480.9189,137981.6115,184258.8121,98603.22538,174385.1929,233109.3133,135208.7691,137791.3685,228717.695,124110.2655,103107.7404,85044.27052,150181.0489,239511.0949,157314.969,141363.1768,87315.5285
4/30/2000,223000.2039,167377.651,181124.9575,143736.1687,189702.2166,138832.8661,185523.5222,99024.02272,175589.4071,234735.3629,134888.7524,138092.7468,230360.3498,124707.8429,103606.9255,85265.63231,150900.0582,241426.7421,158125.1758,142956.8721,87754.17021
5/31/2000,224639.074,168905.9506,182196.0303,144947.7413,191274.6892,139622.3413,186378.9803,98987.35515,176294.2337,236605.8373,134374.5303,138609.1001,231899.628,125337.7956,104241.5222,85447.28857,151741,243633.5332,159165.7892,144681.1277,88295.44077
6/30/2000,226919.3517,170667.216,183484.0178,145898.5776,193208.6322,140619.0053,187212.5015,98754.02964,176919.8278,239055.2152,134574.8757,139337.9438,233660.9564,125952.9687,104970.5583,85669.8053,151908.2667,246330.3356,160388.449,146537.4263,88931.81811
7/31/2000,229162.6069,172744.2551,185178.7615,146936.8038,195568.3306,141661.1114,188360.2443,98497.3587,177993.7311,242209.5764,135240.5143,140104.0718,235801.051,125741.6011,105319.2029,85868.81319,152264.4375,249293.3592,161846.2546,148434.9837,89595.22309
8/31/2000,231435.3799,174634.2757,187295.1837,147918.9371,199017.3481,142887.2412,190342.3058,98796.32384,179960.1441,246131.268,136083.2529,141376.101,238396.8877,125356.065,105582.0819,85989.03232,152729.3272,252108.8042,163275.1417,150162.8644,90182.68764
9/30/2000,233529.7,176780.8426,189288.8968,149359.3068,202611.0521,144451.1222,192744.9913,99312.0566,182022.2001,249999.6107,136920.0622,142806.4151,241201.2105,124950.3927,105900.0722,86152.33072,154255.6201,254495.4132,164853.8743,151738.9192,90782.06339
10/31/2000,235718.3671,178917.3036,191412.7211,150908.8691,206065.5591,146044.3997,194827.6876,99797.92015,183544.3576,253179.847,137543.5049,144578.7362,243935.8307,125470.9419,106506.4637,86361.85897,155894.2767,256764.3107,166296.2715,153038.1827,91282.37557
